date,Price,Open,High,Low,Vol.,Change %
2024-12-30,24.915,25.140,25.240,24.535,76.91K,-1.31%
2024-12-27,25.245,25.725,25.915,25.040,48.64K,-1.19%
2024-12-24,25.550,25.475,25.595,25.380,41.24K,1.87%
2024-12-23,25.080,25.255,25.300,24.920,110.28K,-0.50%
2024-12-20,25.205,24.550,25.205,23.960,222.54K,0.82%
2024-12-19,25.000,24.800,25.280,24.625,149.12K,-3.47%
2024-12-18,25.900,25.800,26.015,25.680,36.77K,0.54%
2024-12-17,25.760,25.795,25.915,25.550,49.03K,-0.56%
2024-12-16,25.905,25.705,26.000,25.630,66.63K,0.56%
2024-12-13,25.760,26.030,26.090,25.610,91.14K,-0.77%
2024-12-12,25.960,25.905,26.120,25.750,38.90K,-0.31%
2024-12-11,26.040,25.640,26.070,25.540,49.98K,1.28%
2024-12-10,25.710,25.545,25.825,25.495,41.81K,0.72%
2024-12-09,25.525,25.850,25.915,25.325,69.32K,-0.99%
2024-12-06,25.780,25.580,25.965,25.450,64.42K,0.14%
2024-12-05,25.745,25.870,26.000,25.630,49.74K,-0.31%
2024-12-04,25.825,25.765,26.085,25.690,55.47K,0.74%
2024-12-03,25.635,25.710,25.715,25.500,40.91K,-0.47%
2024-12-02,25.755,25.520,25.850,25.395,115.05K,1.50%
2024-11-29,25.375,25.110,25.375,25.080,91.34K,0.71%
2024-11-28,25.195,25.230,25.280,25.120,26.84K,0.84%
2024-11-27,24.985,25.475,25.475,24.870,43.50K,-2.06%
2024-11-26,25.510,25.325,25.590,25.120,56.41K,0.61%
2024-11-25,25.355,25.540,25.590,25.220,86.70K,-0.43%
2024-11-22,25.465,24.985,25.630,24.920,128.91K,2.11%
2024-11-21,24.940,24.390,24.940,24.250,119.38K,3.29%
2024-11-20,24.145,24.365,24.475,24.005,39.66K,0.12%
2024-11-19,24.115,24.100,24.160,23.475,50.08K,-0.10%
2024-11-18,24.140,24.005,24.140,23.805,81.20K,0.50%
2024-11-15,24.020,24.310,24.425,24.005,90.13K,-2.91%
2024-11-14,24.740,24.920,25.240,24.640,93.24K,-0.72%
2024-11-13,24.920,24.555,24.920,24.255,168.12K,0.89%
2024-11-12,24.700,24.665,24.800,24.585,156.33K,0.18%
2024-11-11,24.655,24.430,24.775,24.425,184.64K,2.26%
2024-11-08,24.110,23.820,24.145,23.600,81.58K,2.10%
2024-11-07,23.615,23.515,23.655,23.380,183.49K,1.13%
2024-11-06,23.350,23.325,23.700,23.140,333.08K,8.23%
2024-11-05,21.575,21.340,21.685,21.255,55.29K,1.22%
2024-11-04,21.315,21.410,21.450,21.175,46.53K,-1.73%
2024-11-01,21.690,21.400,21.825,21.350,32.69K,0.93%
2024-10-31,21.490,21.830,21.900,21.225,237.55K,-3.89%
2024-10-30,22.360,22.540,22.550,22.220,34.28K,-0.67%
2024-10-29,22.510,22.445,22.570,22.350,21.31K,0.40%
2024-10-28,22.420,22.540,22.575,22.370,44.06K,-0.31%
2024-10-25,22.490,22.295,22.600,22.260,73.84K,0.72%
2024-10-24,22.330,22.405,22.545,22.275,52.52K,-0.27%
2024-10-23,22.390,22.690,22.735,22.390,22.94K,-0.47%
2024-10-22,22.495,22.510,22.560,22.340,26.39K,0.42%
2024-10-21,22.400,22.555,22.605,22.345,26.64K,-0.40%
2024-10-18,22.490,22.495,22.575,22.345,24.10K,-0.44%
2024-10-17,22.590,22.445,22.860,22.385,81.54K,1.96%
2024-10-16,22.155,22.115,22.210,21.935,36.97K,-0.27%
2024-10-15,22.215,22.410,22.435,22.090,107.97K,0.07%
2024-10-14,22.200,21.880,22.290,21.870,63.46K,1.86%
2024-10-11,21.795,21.590,21.865,21.465,53.03K,0.60%
2024-10-10,21.665,21.645,21.695,21.455,43.48K,0.67%
2024-10-09,21.520,21.170,21.520,21.120,42.80K,1.63%
2024-10-08,21.175,20.770,21.190,20.730,44.23K,0.33%
2024-10-07,21.105,21.160,21.175,20.990,27.30K,0.76%
2024-10-04,20.945,20.625,21.280,20.585,49.76K,1.40%
2024-10-03,20.655,20.625,20.755,20.450,52.46K,-0.31%
2024-10-02,20.720,20.495,20.720,20.350,28.86K,0.83%
2024-10-01,20.550,20.665,20.890,20.370,81.77K,0.51%
2024-09-30,20.445,20.365,20.450,20.150,48.42K,-0.27%
2024-09-27,20.500,20.540,20.590,20.405,24.28K,0.79%
2024-09-26,20.340,20.645,20.780,20.320,81.86K,-0.22%
2024-09-25,20.385,20.195,20.405,20.160,20.17K,0.10%
2024-09-24,20.365,20.545,20.545,20.200,37.57K,-0.39%
2024-09-23,20.445,20.250,20.490,20.235,17.71K,1.49%
2024-09-20,20.145,20.185,20.270,20.035,28.30K,-0.96%
2024-09-19,20.340,20.125,20.450,20.080,101.19K,2.54%
2024-09-18,19.836,19.938,19.938,19.788,26.77K,-0.89%
2024-09-17,20.015,19.860,20.185,19.840,6.66K,1.58%
2024-09-16,19.704,19.796,19.846,19.632,,-1.15%
2024-09-13,19.934,19.788,19.934,19.700,27.25K,1.58%
2024-09-12,19.624,19.742,19.790,19.500,26.37K,4.54%
2024-09-11,18.772,19.026,19.232,18.632,22.57K,-1.73%
2024-09-10,19.102,18.896,19.164,18.880,22.80K,1.14%
2024-09-09,18.886,18.678,18.978,18.658,28.59K,2.12%
2024-09-06,18.494,18.822,19.184,18.390,77.10K,-2.40%
2024-09-05,18.948,19.126,19.342,18.924,24.30K,-1.59%
2024-09-04,19.254,19.154,19.370,19.114,38.16K,-2.53%
2024-09-03,19.754,20.215,20.250,19.604,46.38K,-2.16%
2024-09-02,20.190,20.115,20.230,20.015,25.46K,1.71%
2024-08-30,19.850,19.856,20.095,19.828,21.82K,-0.90%
2024-08-29,20.030,19.546,20.125,19.546,138.47K,2.42%
2024-08-28,19.556,19.744,19.902,19.512,13.46K,-0.42%
2024-08-27,19.638,19.648,19.712,19.458,13.43K,0.11%
2024-08-26,19.616,19.676,19.900,19.580,28.92K,0.03%
2024-08-23,19.610,19.600,19.806,19.452,30.73K,-0.63%
2024-08-22,19.734,19.728,19.980,19.686,30.48K,0.26%
2024-08-21,19.682,19.682,19.884,19.638,12.04K,-0.01%
2024-08-20,19.684,19.908,19.968,19.610,57.25K,-0.22%
2024-08-19,19.728,19.618,19.730,19.550,15.75K,0.11%
2024-08-16,19.706,19.872,19.880,19.518,81.11K,0.22%
2024-08-15,19.662,19.066,19.712,19.000,29.85K,3.57%
2024-08-14,18.984,18.956,18.984,18.650,37.64K,0.59%
2024-08-13,18.872,18.684,18.888,18.570,32.40K,1.92%
2024-08-12,18.516,18.586,18.722,18.426,38.43K,0.34%
2024-08-09,18.454,18.384,18.612,18.288,58.36K,0.97%
2024-08-08,18.276,17.500,18.326,17.356,63.37K,-0.27%
2024-08-07,18.326,18.046,18.600,17.950,183.33K,2.44%
2024-08-06,17.890,17.826,18.076,17.534,86.53K,2.12%
2024-08-05,17.518,17.552,17.800,16.600,257.22K,-4.90%
2024-08-02,18.420,19.558,19.558,18.296,210.49K,-8.34%
2024-08-01,20.095,20.620,20.690,20.095,62.32K,-1.28%
2024-07-31,20.355,20.025,20.355,19.990,27.79K,3.11%
2024-07-30,19.742,19.932,20.120,19.700,19.72K,-0.20%
2024-07-29,19.782,19.916,20.150,19.782,72.43K,0.66%
2024-07-26,19.652,19.502,19.784,19.460,33.47K,0.06%
2024-07-25,19.640,19.646,19.734,19.288,84.83K,-0.84%
2024-07-24,19.806,20.230,20.375,19.750,58.87K,-4.25%
2024-07-23,20.685,20.340,20.685,20.300,39.08K,2.30%
2024-07-22,20.220,20.100,20.410,20.065,26.56K,0.92%
2024-07-19,20.035,20.185,20.335,20.005,86.72K,-1.18%
2024-07-18,20.275,20.570,20.675,20.255,41.62K,-1.24%
2024-07-17,20.530,20.945,20.985,20.445,68.07K,-2.56%
2024-07-16,21.070,20.950,21.185,20.830,20.00K,0.31%
2024-07-15,21.005,20.925,21.085,20.855,24.56K,0.60%
2024-07-12,20.880,20.715,20.890,20.570,37.26K,0.87%
2024-07-11,20.700,21.120,21.120,20.700,44.27K,-0.81%
2024-07-10,20.870,20.785,20.895,20.770,24.52K,0.17%
2024-07-09,20.835,20.775,20.860,20.770,38.65K,0.70%
2024-07-08,20.690,20.630,20.735,20.560,31.60K,0.61%
2024-07-05,20.565,20.545,20.575,20.390,47.31K,0.42%
2024-07-04,20.480,20.580,20.625,20.470,13.97K,0.10%
2024-07-03,20.460,20.530,20.570,20.350,23.74K,0.32%
2024-07-02,20.395,20.275,20.395,20.180,26.12K,0.42%
2024-07-01,20.310,20.290,20.400,20.100,60.50K,-1.57%
2024-06-28,20.635,20.695,20.845,20.595,53.93K,0.93%
2024-06-27,20.445,20.475,20.535,20.395,7.71K,0.05%
2024-06-26,20.435,20.515,20.605,20.400,18.87K,0.47%
2024-06-25,20.340,20.205,20.410,20.160,45.43K,-0.42%
2024-06-24,20.425,20.415,20.460,20.225,26.16K,-0.17%
2024-06-21,20.460,20.475,20.565,20.375,61.29K,-0.56%
2024-06-20,20.575,20.605,20.750,20.510,58.54K,0.61%
2024-06-19,20.450,20.505,20.535,20.405,69.85K,0.27%
2024-06-18,20.395,20.350,20.455,20.300,31.72K,1.22%
2024-06-17,20.150,20.205,20.260,20.025,40.23K,0.25%
2024-06-14,20.100,20.080,20.500,19.926,52.82K,1.16%
2024-06-13,19.870,19.832,19.958,19.710,79.71K,0.91%
2024-06-12,19.690,19.658,19.800,19.580,22.27K,0.93%
2024-06-11,19.508,19.442,19.514,19.350,26.94K,0.20%
