date;Price;Open;High;Low;Vol.;Change %
02/21/2025;2953.20;2955.70;2964.70;2930.10;155.56K;-0.10%
02/20/2025;2956.10;2949.50;2973.40;2939.30;172.20K;0.68%
02/19/2025;2936.10;2954.10;2964.40;2933.70;159.34K;-0.44%
02/18/2025;2949.00;2895.10;2956.50;2887.60;218.76K;1.67%
02/14/2025;2900.70;2957.30;2964.10;2889.90;228.08K;-1.52%
02/13/2025;2945.40;2928.80;2958.80;2925.80;169.50K;0.57%
02/12/2025;2928.70;2927.00;2936.50;2886.50;204.63K;-0.13%
02/11/2025;2932.60;2937.00;2968.50;2907.00;218.48K;-0.06%
02/10/2025;2934.40;2884.80;2938.10;2879.90;167.23K;1.62%
02/07/2025;2887.60;2880.20;2910.60;2876.10;192.55K;0.38%
02/06/2025;2876.70;2885.00;2894.20;2855.00;167.70K;-0.56%
02/05/2025;2893.00;2873.70;2906.00;2870.10;167.38K;0.60%
02/04/2025;2875.80;2850.40;2877.10;2837.40;145.86K;0.65%
02/03/2025;2857.10;2846.50;2872.00;2802.20;181.34K;0.78%
01/31/2025;2835.00;2851.90;2862.90;2826.00;165.68K;-0.36%
01/30/2025;2845.20;2796.20;2853.20;2794.90;188.34K;2.29%
01/29/2025;2781.50;2784.90;2790.10;2772.80;3.98K;0.02%
01/28/2025;2781.00;2757.00;2786.90;2752.90;3.42K;1.04%
01/27/2025;2752.40;2791.00;2791.00;2746.80;3.94K;-1.44%
01/24/2025;2792.70;2779.30;2808.10;2779.30;1.10K;0.52%
01/23/2025;2778.30;2778.10;2780.20;2754.70;1.83K;-0.68%
01/22/2025;2797.40;2784.50;2800.30;2782.50;39.59K;0.42%
01/21/2025;2785.60;2766.00;2788.40;2741.50;56.80K;1.34%
01/17/2025;2748.70;2746.80;2759.20;2729.20;156.87K;-0.08%
01/16/2025;2750.90;2722.30;2757.90;2720.40;186.54K;1.22%
01/15/2025;2717.80;2693.30;2722.70;2685.40;193.72K;1.32%
01/14/2025;2682.30;2682.00;2693.70;2672.00;179.41K;0.14%
01/13/2025;2678.60;2716.80;2723.80;2675.20;211.09K;-1.34%
01/10/2025;2715.00;2692.90;2735.00;2686.90;298.41K;0.90%
01/09/2025;2690.80;2679.90;2696.80;2673.70;156.65K;0.69%
01/08/2025;2672.40;2662.90;2687.00;2658.40;197.37K;0.26%
01/07/2025;2665.40;2647.10;2678.50;2643.50;161.62K;0.68%
01/06/2025;2647.40;2652.80;2663.80;2624.60;169.92K;-0.27%
01/03/2025;2654.70;2671.10;2681.00;2649.70;121.17K;-0.54%
01/02/2025;2669.00;2641.00;2674.20;2636.10;144.52K;1.06%
12/31/2024;2641.00;2620.00;2642.00;2614.30;86.29K;0.87%
12/30/2024;2618.10;2636.10;2640.70;2608.40;110.92K;-0.01%
12/27/2024;2618.40;2639.70;2639.70;2612.10;0.64K;-0.83%
12/26/2024;2640.30;2623.30;2642.40;2622.80;1.40K;0.67%
12/24/2024;2622.80;2616.50;2622.70;2612.50;0.42K;0.28%
12/23/2024;2615.50;2627.30;2632.90;2610.20;0.56K;-0.65%
12/20/2024;2632.50;2597.70;2640.70;2595.70;0.51K;1.41%
12/19/2024;2596.00;2586.00;2625.00;2585.90;0.90K;-1.70%
12/18/2024;2640.80;2651.20;2654.30;2587.20;0.88K;-0.33%
