date,open,high,low,close,volume
1993-01-29,24.3753,24.3753,24.2541,24.3580,1003200
1993-02-01,24.3753,24.5313,24.3753,24.5313,480500
1993-02-02,24.5139,24.6006,24.4620,24.5832,201300
1993-02-03,24.6179,24.8604,24.6006,24.8431,529400
1993-02-04,24.9297,24.9990,24.6525,24.9470,531500
1993-02-05,24.9297,24.9817,24.7911,24.9297,492100
1993-02-08,24.9297,25.0163,24.8950,24.9297,596100
1993-02-09,24.8431,24.8431,24.7045,24.7565,122100
1993-02-10,24.7565,24.8085,24.6872,24.7911,379600
1993-02-11,24.8258,25.0163,24.8258,24.9124,19500
1993-02-12,24.8778,24.8778,24.7218,24.7218,42500
1993-02-16,24.6525,24.6525,24.0635,24.0981,374800
1993-02-17,24.0981,24.1328,23.9942,24.0808,210900
1993-02-18,24.3580,24.3580,23.7343,24.0635,378100
1993-02-19,24.0635,24.1501,24.0288,24.1501,34900
1993-02-22,24.2194,24.2714,24.1501,24.2367,513600
1993-02-23,24.3060,24.3234,24.0981,24.2194,373700
1993-02-24,24.2367,24.5313,24.2367,24.5313,26300
1993-02-25,24.5139,24.6006,24.4620,24.5832,44500
1993-02-26,24.6352,24.6352,24.4966,24.6179,66200
1993-03-01,24.7045,24.7045,24.5139,24.5486,66500
1993-03-02,24.5659,24.9124,24.5313,24.9124,182400
1993-03-03,24.9470,25.0336,24.9124,25.0163,280100
1993-03-04,25.0510,25.0510,24.8778,24.8778,89500
1993-03-05,24.9124,25.0163,24.7911,24.8085,40000
1993-03-08,24.8604,25.3628,24.8604,25.3628,50800
1993-03-09,25.3108,25.3282,25.2242,25.2762,169300
1993-03-10,25.2762,25.3282,25.1722,25.3282,194400
1993-03-11,25.3455,25.4148,25.2242,25.2589,70900
1993-03-12,25.0510,25.0683,24.8431,24.9990,643600
1993-03-15,24.9817,25.1203,24.9817,25.1203,310800
1993-03-16,25.1203,25.1896,25.1203,25.1203,30800
1993-03-17,25.0856,25.0856,24.9297,24.9643,21800
1993-03-18,25.0683,25.2242,25.0683,25.1203,59300
1993-03-19,25.2217,25.2217,25.0824,25.0824,66900
1993-03-22,24.8387,24.9954,24.8214,24.9432,183400
1993-03-23,25.0128,25.0302,24.9606,24.9954,55200
1993-03-24,24.9606,25.0999,24.8387,24.9954,37200
1993-03-25,25.0128,25.2043,24.9780,25.1521,110100
1993-03-26,25.1347,25.1521,24.9954,25.0128,101500
1993-03-29,25.0302,25.2391,25.0302,25.1172,87100
1993-03-30,25.1521,25.1869,25.1172,25.1869,56000
1993-03-31,25.2565,25.3261,25.1695,25.1695,111600
1993-04-01,25.2043,25.2043,25.0302,25.0824,129500
1993-04-02,24.8736,24.8736,24.5602,24.5602,59400
1993-04-05,24.7517,24.7517,24.6125,24.6821,172200
1993-04-06,24.7343,24.7343,24.5429,24.6125,129700
1993-04-07,24.6473,24.6995,24.5951,24.6995,28000
1993-04-08,24.8039,24.8039,24.5602,24.6647,180800
1993-04-12,24.9084,25.0302,24.8736,25.0128,348500
1993-04-13,24.9954,25.1521,24.9780,25.0650,146100
1993-04-14,25.0824,25.0999,25.0128,25.0302,119600
1993-04-15,25.0128,25.0824,24.9258,25.0302,148600
1993-04-16,25.0476,25.0824,24.9954,25.0302,47900
1993-04-19,25.0302,25.0999,24.9084,24.9258,157000
1993-04-20,24.8910,24.9258,24.6473,24.8039,279500
1993-04-21,24.8562,24.8562,24.7169,24.7865,67900
1993-04-22,24.6821,24.8910,24.4732,24.4732,97700
1993-04-23,24.4210,24.4906,24.3340,24.3688,106000
1993-04-26,24.3862,24.4732,24.1077,24.1773,62600
1993-04-27,24.1425,24.4384,24.1425,24.4384,156800
1993-04-28,24.4036,24.4558,24.3514,24.3862,85900
1993-04-29,24.4384,24.4906,24.2992,24.4906,85000
1993-04-30,24.5777,24.6647,24.5254,24.5254,88500
1993-05-03,24.5602,24.6821,24.4558,24.6821,80500
1993-05-04,24.7343,24.8562,24.6995,24.7691,149100
1993-05-05,24.7691,24.9258,24.7691,24.8387,109000
1993-05-06,24.8039,24.8214,24.7343,24.7517,54700
1993-05-07,24.7691,24.7691,24.6647,24.6995,68000
1993-05-10,24.7343,24.8910,24.7343,24.7517,113900
1993-05-11,24.7517,24.8562,24.6821,24.8562,42600
1993-05-12,24.7517,24.8387,24.7517,24.8214,31000
1993-05-13,24.7169,24.7169,24.5080,24.5254,129100
1993-05-14,24.5254,24.5951,24.4906,24.5080,63500
1993-05-17,24.5777,24.5951,24.4732,24.5951,34000
1993-05-18,24.6125,24.6299,24.4906,24.5777,105200
1993-05-19,24.5777,25.0824,24.4210,25.0824,50200
1993-05-20,25.0824,25.1521,25.0302,25.1521,98200
1993-05-21,25.1695,25.2043,24.9084,24.9258,221400
1993-05-24,24.9780,25.1172,24.9780,25.0302,30500
1993-05-25,25.1347,25.1347,25.0824,25.0824,191800
1993-05-26,25.1521,25.4132,25.1347,25.3957,102400
1993-05-27,25.4306,25.4306,25.2739,25.3087,53800
1993-05-28,25.2913,25.2913,25.0650,25.1869,79100
1993-06-01,25.2739,25.5176,25.2391,25.4306,28300
1993-06-02,25.3609,25.4828,25.2565,25.3957,20300
1993-06-03,25.3435,25.3435,25.2565,25.3087,21600
1993-06-04,25.2391,25.2391,25.1172,25.2217,32000
1993-06-07,25.2739,25.2739,25.1347,25.1347,121400
1993-06-08,25.0650,25.0650,24.9084,24.9084,104500
1993-06-09,24.9954,25.0999,24.9606,24.9954,43300
1993-06-10,24.9780,25.0302,24.9258,25.0128,17900
1993-06-11,25.0999,25.1521,25.0128,25.1172,647400
1993-06-14,25.1521,25.1695,25.0824,25.0824,64200
1993-06-15,25.1172,25.1347,25.0302,25.0302,142400
1993-06-16,25.0302,25.0824,24.9606,25.0824,330900
1993-06-17,25.1347,25.1695,25.0824,25.1695,37400
1993-06-18,25.1565,25.1565,24.9637,24.9637,58500
1993-06-21,25.0338,25.0338,24.9812,25.0162,29300
1993-06-22,25.0513,25.0513,24.9987,25.0338,137500
1993-06-23,25.0338,25.0338,24.8059,24.8059,227600
1993-06-24,24.8760,25.1390,24.8760,25.1390,243700
1993-06-25,25.1214,25.1915,25.1039,25.1214,44800
1993-06-28,25.2442,25.4019,25.2091,25.4019,439900
1993-06-29,25.3669,25.3669,25.2442,25.2792,207500
1993-06-30,25.3143,25.3669,25.2442,25.2792,437600
1993-07-01,25.3143,25.3143,25.1740,25.2091,605700
1993-07-02,25.1214,25.1390,24.9812,25.0689,285400
1993-07-06,25.0338,25.1039,24.7708,24.8059,246400
1993-07-07,24.7884,24.9111,24.7884,24.8760,343700
1993-07-08,24.8936,25.2091,24.8585,25.1565,248200
1993-07-09,25.1565,25.2266,25.1039,25.2266,378200
1993-07-12,25.1915,25.2266,25.1565,25.2091,373700
1993-07-13,25.2266,25.2967,25.0513,25.1915,389600
1993-07-14,25.2091,25.3493,25.1915,25.2792,617300
1993-07-15,25.2617,25.2617,25.1214,25.1740,443800
1993-07-16,25.1915,25.2091,25.0689,25.1039,216400
1993-07-19,25.1039,25.1039,25.0162,25.0864,188200
1993-07-20,25.0689,25.1565,24.9461,25.1565,68500
1993-07-21,25.1214,25.1390,25.0513,25.1390,142700
1993-07-22,25.1039,25.1390,24.9637,24.9637,632400
1993-07-23,25.0162,25.0864,24.9987,25.0864,286200
1993-07-26,25.1565,25.2792,25.1565,25.2266,121300
1993-07-27,25.2442,25.2617,25.1214,25.2091,92800
1993-07-28,25.1565,25.2091,25.1214,25.1565,30800
1993-07-29,25.2091,25.3669,25.1740,25.2967,331000
1993-07-30,25.2967,25.2967,25.1214,25.1565,75300
1993-08-02,25.1915,25.3143,25.1915,25.2266,41300
1993-08-03,25.2792,25.3493,25.1565,25.2442,81600
1993-08-04,25.2442,25.2967,25.1740,25.2442,434000
1993-08-05,25.2442,25.2442,25.1565,25.1915,36800
1993-08-06,25.2617,25.2792,25.1915,25.2266,402300
1993-08-09,25.2967,25.4370,25.2442,25.3669,828200
1993-08-10,25.3493,25.3669,25.3143,25.3493,604900
1993-08-11,25.3318,25.4195,25.3318,25.3493,542200
1993-08-12,25.4195,25.4195,25.1915,25.2792,303700
1993-08-13,25.2967,25.3318,25.2967,25.3143,103500
1993-08-16,25.3318,25.5247,25.3318,25.4545,241800
1993-08-17,25.4370,25.5422,25.4370,25.5422,369300
1993-08-18,25.6298,25.7350,25.6123,25.6824,414300
1993-08-19,25.7000,25.7000,25.6473,25.6824,28500
1993-08-20,25.6298,25.7000,25.6123,25.7000,80700
1993-08-23,25.5948,25.6649,25.5948,25.6473,15600
1993-08-24,25.6473,25.9278,25.6473,25.9278,273400
1993-08-25,25.9278,26.0506,25.8928,25.9454,242300
1993-08-26,25.9629,26.1031,25.8577,25.9629,120000
1993-08-27,25.8928,25.9454,25.8928,25.9454,25700
1993-08-30,25.9629,26.0856,25.9629,26.0506,183500
1993-08-31,26.0330,26.1207,25.9980,26.1207,66500
1993-09-01,26.0330,26.1382,26.0330,26.0856,136500
1993-09-02,26.1031,26.1382,25.9805,25.9980,472400
1993-09-03,25.9805,26.0506,25.9454,26.0155,630500
1993-09-07,26.0155,26.0506,25.8051,25.8402,196400
1993-09-08,25.8402,25.8402,25.5772,25.7525,269900
1993-09-09,25.6473,25.8227,25.6473,25.8051,239200
1993-09-10,25.8753,26.0506,25.8402,26.0330,106500
1993-09-13,26.1207,26.1207,26.0506,26.0506,66900
1993-09-14,25.9805,25.9805,25.8577,25.9454,184500
1993-09-15,25.8402,26.0330,25.7525,26.0155,101000
1993-09-16,25.9805,25.9980,25.8928,25.9103,54300
1993-09-17,25.8957,25.9133,25.8251,25.8604,200900
1993-09-20,25.8957,25.9486,25.6487,25.6487,57800
1993-09-21,25.6840,25.7193,25.2959,25.5605,318200
1993-09-22,25.6487,25.8075,25.6134,25.7722,439700
1993-09-23,25.8427,25.9310,25.8075,25.9133,88500
