date,Price,Open,high,Low,Vol.,Change %
12/31/2024,168.70,172.09,172.67,167.31,3.80M,-1.19%
12/30/2024,170.74,170.43,173.80,167.30,3.73M,-3.48%
12/27/2024,176.89,179.05,179.33,172.94,4.01M,-3.15%
12/26/2024,182.65,181.07,183.79,179.81,2.46M,0.01%
12/24/2024,182.64,178.07,182.75,177.57,2.18M,3.12%
12/23/2024,177.11,173.64,177.57,170.78,7.03M,1.82%
12/20/2024,173.94,166.13,178.21,165.40,4.78M,3.31%
12/19/2024,168.37,172.88,174.36,168.18,4.16M,-0.21%
12/18/2024,168.73,184.89,187.14,168.19,4.80M,-8.87%
12/17/2024,185.15,185.15,186.07,183.97,3.08M,-1.33%
12/16/2024,187.65,186.92,188.56,186.19,6.45M,1.20%
12/13/2024,185.42,187.40,188.03,184.04,2.49M,-0.15%
12/12/2024,185.69,187.72,188.25,185.65,2.14M,-1.56%
12/11/2024,188.64,187.10,189.52,186.77,2.44M,2.25%
12/10/2024,184.48,186.75,187.05,183.74,2.40M,-0.90%
12/09/2024,186.16,189.00,189.16,185.61,2.35M,-1.62%
12/06/2024,189.22,188.82,190.34,188.42,2.72M,0.49%
12/05/2024,188.29,189.18,189.97,187.96,2.07M,-0.47%
12/04/2024,189.17,187.40,189.48,186.77,2.32M,1.78%
12/03/2024,185.86,185.41,186.11,184.43,1.92M,0.10%
12/02/2024,185.68,185.08,186.30,184.63,2.17M,0.54%
11/29/2024,184.69,182.09,185.44,181.89,1.49M,1.80%
11/27/2024,181.42,183.02,183.45,180.08,2.58M,-1.04%
11/26/2024,183.32,181.64,183.93,180.97,2.20M,1.60%
11/25/2024,180.43,182.32,183.50,178.43,3.28M,0.95%
11/22/2024,178.74,177.13,179.35,176.68,2.96M,0.89%
11/21/2024,177.16,177.02,178.52,171.75,4.26M,1.52%
11/20/2024,174.50,174.39,174.74,169.28,3.79M,0.01%
11/19/2024,174.48,169.50,175.08,168.91,3.47M,1.04%
11/18/2024,172.69,170.95,173.80,170.16,2.66M,1.25%
11/15/2024,170.55,174.16,174.58,168.88,4.85M,-3.94%
11/14/2024,177.55,181.15,181.62,176.96,2.69M,-1.99%
11/13/2024,181.16,181.25,182.98,179.10,2.84M,0.17%
11/12/2024,180.86,182.60,183.12,178.61,2.66M,-1.01%
11/11/2024,182.70,183.66,183.96,181.10,2.62M,0.26%
11/08/2024,182.23,180.38,183.50,180.36,2.30M,1.19%
11/07/2024,180.09,177.76,180.96,177.70,3.28M,2.34%
11/06/2024,175.98,174.47,176.77,171.19,4.87M,7.44%
11/05/2024,163.80,158.92,163.81,158.75,2.33M,3.57%
11/04/2024,158.16,159.25,160.39,156.52,2.18M,-0.64%
11/01/2024,159.18,159.41,162.99,158.84,2.97M,1.18%
10/31/2024,157.33,163.36,163.43,157.21,4.45M,-5.93%
10/30/2024,167.25,168.39,170.14,166.66,2.96M,-0.91%
10/29/2024,168.79,167.21,169.80,165.95,2.11M,0.43%
10/28/2024,168.07,169.59,169.59,167.79,2.25M,0.92%
10/25/2024,166.54,168.71,171.26,165.71,3.40M,-0.17%
10/24/2024,166.83,167.54,167.55,164.62,2.58M,0.63%
10/23/2024,165.79,168.69,169.09,162.68,4.03M,-2.79%
10/22/2024,170.54,168.60,171.59,167.97,2.74M,-0.25%
10/21/2024,170.97,171.16,171.99,168.26,3.00M,-0.46%
10/18/2024,171.76,171.38,172.53,170.09,1.94M,1.01%
10/17/2024,170.04,173.19,173.32,169.88,2.88M,0.05%
10/16/2024,169.95,167.87,170.50,167.15,2.13M,1.22%
10/15/2024,167.90,172.17,172.42,166.81,2.92M,-2.33%
10/14/2024,171.90,169.21,172.71,168.94,2.11M,2.46%
10/11/2024,167.77,164.82,168.48,164.72,2.56M,1.65%
10/10/2024,165.05,164.80,166.34,163.67,3.04M,-0.52%
10/09/2024,165.92,162.67,166.48,162.13,2.65M,2.02%
10/08/2024,162.64,160.37,163.14,159.66,2.28M,2.75%
10/07/2024,158.28,161.27,161.79,157.26,3.43M,-2.68%
10/04/2024,162.64,162.20,163.04,158.70,3.46M,2.61%
10/03/2024,158.51,158.19,160.21,156.60,2.64M,-0.59%
10/02/2024,159.45,158.51,160.33,156.44,2.90M,0.08%
