date,Price,Open,High,Low,Vol.,Change %
02/14/2025,99.20,99.27,99.60,98.98,1.81M,-0.06%
02/13/2025,99.26,97.57,99.33,97.16,3.73M,2.09%
02/12/2025,97.23,95.87,97.61,95.67,2.20M,-0.61%
02/11/2025,97.83,96.97,98.04,96.94,918.74K,0.11%
02/10/2025,97.72,97.47,97.94,97.05,1.01M,1.33%
02/07/2025,96.44,98.42,98.83,96.22,2.26M,-1.87%
02/06/2025,98.28,98.17,98.32,97.09,1.72M,0.69%
02/05/2025,97.61,96.47,97.67,95.82,1.30M,0.78%
02/04/2025,96.85,95.59,97.00,95.43,1.63M,1.34%
02/03/2025,95.57,93.93,96.38,93.25,3.64M,-1.36%
01/31/2025,96.89,98.75,99.54,96.65,2.36M,-1.11%
01/30/2025,97.98,97.66,98.49,96.62,3.16M,1.03%
01/29/2025,96.98,97.60,97.71,96.14,2.04M,-0.90%
01/28/2025,97.86,96.61,98.13,95.55,2.36M,1.68%
01/27/2025,96.24,94.74,96.31,94.70,3.65M,-2.84%
01/24/2025,99.05,99.66,99.97,98.69,2.29M,-0.62%
01/23/2025,99.67,98.37,99.67,98.30,1.32M,1.11%
01/22/2025,98.58,98.45,99.06,98.30,1.58M,1.09%
01/21/2025,97.52,96.78,97.53,96.14,3.62M,1.82%
01/17/2025,95.78,95.62,96.36,95.18,1.86M,1.90%
01/16/2025,93.99,94.78,94.84,93.75,1.35M,-0.38%
01/15/2025,94.35,93.60,94.72,93.23,2.31M,3.61%
01/14/2025,91.06,91.74,91.92,89.87,2.85M,0.24%
01/13/2025,90.84,89.06,90.93,88.94,1.96M,0.31%
01/10/2025,90.56,92.26,92.29,89.94,4.54M,-3.06%
01/08/2025,93.42,93.23,93.79,92.08,2.31M,0.18%
01/07/2025,93.25,96.04,96.11,92.62,2.27M,-2.25%
01/06/2025,95.40,95.64,96.77,94.83,2.04M,1.19%
01/03/2025,94.28,92.93,94.51,92.59,2.02M,2.46%
01/02/2025,92.02,93.56,94.10,90.74,3.35M,-0.53%
12/31/2024,92.51,93.75,93.96,92.02,2.01M,-0.78%
12/30/2024,93.24,93.15,94.36,92.04,2.37M,-2.31%
12/27/2024,95.44,96.22,96.32,94.07,2.55M,-2.13%
12/26/2024,97.52,96.94,97.92,96.49,1.61M,0.02%
12/24/2024,97.50,95.86,97.54,95.68,1.13M,2.12%
12/23/2024,95.48,94.24,95.66,93.23,1.99M,1.00%
12/20/2024,94.53,91.64,96.04,91.37,4.28M,2.27%
12/19/2024,92.43,94.10,94.61,92.35,3.56M,-0.28%
12/18/2024,92.69,98.28,99.07,92.35,4.16M,-5.76%
12/17/2024,98.36,98.36,98.68,97.94,1.51M,-0.87%
12/16/2024,99.22,98.97,99.55,98.72,1.48M,0.81%
12/13/2024,98.42,99.11,99.36,97.96,1.28M,-0.07%
12/12/2024,98.49,99.23,99.42,98.49,1.23M,-1.05%
12/11/2024,99.54,99.00,99.85,98.89,1.09M,1.50%
12/10/2024,98.07,98.86,98.97,97.82,1.18M,-0.60%
12/09/2024,98.66,99.65,99.71,98.47,2.10M,-1.07%
12/06/2024,99.73,99.58,100.12,99.46,1.65M,0.36%
12/05/2024,99.37,99.70,99.98,99.28,1.23M,-0.33%
12/04/2024,99.70,99.06,99.79,98.85,1.65M,1.23%
12/03/2024,98.49,98.35,98.60,98.01,1.23M,0.05%
12/02/2024,98.44,98.23,98.66,98.07,1.50M,0.38%
11/29/2024,98.07,97.16,98.36,97.10,705.28K,1.18%
11/27/2024,96.93,97.50,97.60,96.46,1.96M,-0.69%
11/26/2024,97.60,96.98,97.79,96.77,1.40M,1.09%
11/25/2024,96.55,97.24,97.64,95.85,2.04M,0.66%
11/22/2024,95.92,95.35,96.14,95.21,1.79M,0.57%
11/21/2024,95.38,95.32,95.86,93.43,2.39M,1.03%
11/20/2024,94.41,94.38,94.50,92.53,2.26M,0.07%
11/19/2024,94.34,92.58,94.60,92.37,1.98M,0.67%
11/18/2024,93.71,93.10,94.13,92.81,1.95M,0.84%
11/15/2024,92.93,94.24,94.38,92.35,2.92M,-2.62%
11/14/2024,95.43,96.73,96.88,95.22,2.34M,-1.32%
11/13/2024,96.71,96.77,97.37,96.00,1.59M,0.10%
11/12/2024,96.61,97.20,97.40,95.81,2.00M,-0.64%
11/11/2024,97.23,97.61,97.70,96.68,2.68M,0.14%
11/08/2024,97.09,96.42,97.53,96.42,1.23M,0.83%
11/07/2024,96.29,95.49,96.62,95.48,2.11M,1.53%
11/06/2024,94.84,94.29,95.12,93.08,4.14M,4.96%
11/05/2024,90.36,88.54,90.36,88.46,2.20M,2.39%
11/04/2024,88.25,88.66,89.08,87.64,2.17M,-0.43%
11/01/2024,88.63,88.73,90.04,88.52,2.71M,0.81%
10/31/2024,87.92,90.13,90.16,87.88,3.27M,-3.94%
10/30/2024,91.53,91.97,92.60,91.33,1.34M,-0.63%
10/29/2024,92.11,91.52,92.48,91.07,1.32M,0.30%
10/28/2024,91.83,92.40,92.41,91.75,1.29M,0.57%
10/25/2024,91.31,92.09,93.01,90.98,2.22M,-0.08%
10/24/2024,91.38,91.64,91.65,90.58,1.73M,0.42%
10/23/2024,91.00,92.05,92.19,89.89,2.57M,-1.87%
10/22/2024,92.73,92.02,93.10,91.81,1.56M,-0.15%
10/21/2024,92.87,92.93,93.24,91.88,1.90M,-0.31%
10/18/2024,93.16,93.03,93.43,92.56,1.41M,0.74%
10/17/2024,92.48,93.66,93.70,92.46,2.05M,-0.01%
10/16/2024,92.49,91.72,92.67,91.46,1.29M,0.84%
10/15/2024,91.72,93.27,93.36,91.36,2.10M,-1.57%
10/14/2024,93.18,92.20,93.49,92.11,1.78M,1.65%
10/11/2024,91.67,90.59,91.93,90.56,2.29M,1.09%
10/10/2024,90.68,90.56,91.12,90.16,1.85M,-0.33%
10/09/2024,90.98,89.77,91.18,89.58,1.73M,1.35%
10/08/2024,89.77,88.91,89.96,88.65,1.77M,1.84%
10/07/2024,88.15,89.23,89.41,87.76,2.58M,-1.77%
10/04/2024,89.74,89.57,89.89,88.29,2.32M,1.75%
10/03/2024,88.20,88.08,88.82,87.49,2.18M,-0.37%
10/02/2024,88.53,88.18,88.87,87.42,2.01M,0.05%
10/01/2024,88.49,89.98,90.00,87.66,4.10M,-1.86%
09/30/2024,90.17,89.08,90.29,88.36,2.79M,0.86%
09/27/2024,89.40,90.03,90.26,89.10,1.95M,-0.35%
09/26/2024,89.71,90.38,90.47,88.97,2.00M,0.78%
09/25/2024,89.02,89.38,89.61,88.69,1.30M,-0.65%
09/24/2024,89.60,89.36,89.63,88.46,1.78M,0.57%
09/23/2024,89.09,89.02,89.33,88.63,2.04M,0.52%
09/20/2024,88.63,88.57,89.02,87.74,2.07M,-0.45%
09/19/2024,89.03,89.06,89.62,88.17,2.73M,3.42%
09/18/2024,86.09,86.84,88.36,85.95,3.67M,-0.66%
09/17/2024,86.66,87.28,87.72,85.96,2.46M,0.07%
09/16/2024,86.60,86.25,86.68,85.69,1.23M,0.31%
09/13/2024,86.33,85.65,86.66,85.57,2.31M,0.97%
09/12/2024,85.50,84.27,85.59,83.58,2.48M,1.71%
09/11/2024,84.06,82.38,84.38,79.75,3.22M,1.99%
09/10/2024,82.42,82.30,82.53,80.82,1.96M,0.87%
09/09/2024,81.71,81.18,82.10,80.63,2.33M,2.16%
09/06/2024,79.98,82.84,83.33,79.67,4.27M,-3.37%
09/05/2024,82.77,83.15,84.03,82.02,2.57M,-0.48%
09/04/2024,83.17,82.96,84.24,82.76,3.05M,-0.48%
09/03/2024,83.57,86.15,86.26,82.77,5.62M,-4.11%
08/30/2024,87.15,86.28,87.33,85.17,2.06M,1.85%
08/29/2024,85.57,86.20,87.21,85.24,2.38M,-0.05%
08/28/2024,85.61,86.50,86.64,84.59,1.80M,-1.17%
08/27/2024,86.62,85.98,86.78,85.62,2.87M,0.28%
08/26/2024,86.38,87.14,87.37,85.89,2.02M,-0.50%
08/23/2024,86.81,86.06,87.13,85.36,2.01M,2.05%
08/22/2024,85.07,87.04,87.23,84.69,2.21M,-1.62%
08/21/2024,86.47,86.19,86.91,85.68,1.36M,0.71%
08/20/2024,85.86,86.00,86.54,85.45,1.67M,-0.34%
08/19/2024,86.15,84.67,86.16,84.41,1.67M,1.90%
08/16/2024,84.54,83.69,84.77,83.64,2.37M,0.34%
08/15/2024,84.25,83.19,84.32,82.99,2.28M,3.41%
08/14/2024,81.47,81.20,81.82,80.38,1.69M,0.62%
08/13/2024,80.97,79.35,81.02,79.28,1.98M,3.32%
08/12/2024,78.37,78.67,79.11,77.72,1.73M,0.06%
08/09/2024,78.32,77.40,78.77,77.05,1.98M,0.85%
08/08/2024,77.66,75.77,77.87,75.19,2.35M,4.61%
08/07/2024,74.24,77.12,77.99,74.09,3.00M,-1.41%
08/06/2024,75.30,74.44,77.45,74.08,4.96M,1.87%
08/05/2024,73.92,72.25,75.76,71.83,11.44M,-5.88%
08/02/2024,78.54,79.40,79.76,77.24,6.06M,-3.76%
08/01/2024,81.61,84.52,85.21,80.53,5.32M,-2.71%
07/31/2024,83.88,83.44,84.82,83.03,3.33M,3.08%
07/30/2024,81.37,82.67,82.98,80.32,2.81M,-1.07%
07/29/2024,82.25,82.61,82.91,81.62,1.56M,0.18%
07/26/2024,82.10,81.51,82.97,81.28,9.16M,2.17%
07/25/2024,80.36,81.27,83.11,80.11,4.54M,-1.07%
07/24/2024,81.23,83.60,83.69,80.97,4.96M,-4.58%
07/23/2024,85.13,85.37,86.04,84.98,2.33M,-0.35%
07/22/2024,85.43,84.92,85.61,84.32,2.85M,2.05%
07/19/2024,83.71,84.75,85.27,83.38,3.00M,-1.37%
07/18/2024,84.87,86.70,87.00,84.20,3.36M,-1.55%
07/17/2024,86.21,86.82,87.33,86.12,2.65M,-2.85%
07/16/2024,88.74,88.12,88.82,87.87,2.14M,1.20%
07/15/2024,87.69,87.87,88.73,87.12,3.46M,0.54%
07/12/2024,87.22,86.52,88.39,86.40,2.33M,1.22%
07/11/2024,86.17,87.76,88.02,86.00,2.92M,-1.78%
07/10/2024,87.73,86.42,87.84,86.32,1.66M,1.96%
07/09/2024,86.04,86.16,86.45,85.96,1.54M,0.17%
07/08/2024,85.89,85.94,86.20,85.56,1.70M,0.17%
07/05/2024,85.74,84.83,85.84,84.64,1.51M,1.17%
07/03/2024,84.75,83.94,84.89,83.92,1.34M,0.84%
07/02/2024,84.04,82.45,84.04,82.43,1.67M,1.30%
07/01/2024,82.96,83.05,83.12,82.11,2.64M,0.44%
06/28/2024,82.60,83.52,84.48,82.26,2.94M,-0.86%
06/27/2024,83.32,83.03,83.51,82.81,1.61M,0.26%
06/26/2024,83.10,82.53,83.31,82.33,1.54M,0.00%
06/25/2024,83.10,82.83,83.20,82.39,1.99M,0.83%
06/24/2024,82.42,82.95,83.75,82.42,2.38M,-0.58%
06/21/2024,82.90,83.00,83.38,82.58,1.97M,-0.43%
06/20/2024,83.26,84.04,84.24,82.74,2.76M,-0.59%
06/18/2024,83.75,83.35,83.80,83.24,1.62M,0.49%
06/17/2024,83.34,81.85,83.77,81.71,1.86M,1.57%
06/14/2024,82.05,81.51,82.08,81.20,1.76M,0.07%
06/13/2024,81.99,82.23,82.27,81.17,2.23M,0.34%
06/12/2024,81.71,81.80,82.52,81.40,3.08M,1.67%
06/11/2024,80.37,79.55,80.42,78.93,1.49M,0.45%
06/10/2024,80.01,79.28,80.13,79.11,1.43M,0.60%
06/07/2024,79.53,79.46,80.41,79.11,2.19M,-0.31%
06/06/2024,79.78,79.90,80.02,79.19,1.49M,-0.05%
06/05/2024,79.82,78.63,79.82,78.07,2.67M,2.41%
06/04/2024,77.94,77.41,78.19,76.95,2.14M,0.19%
06/03/2024,77.79,78.17,78.21,76.28,3.63M,0.15%
05/31/2024,77.67,76.60,77.76,75.07,3.56M,1.76%
05/30/2024,76.33,76.91,77.10,75.97,2.46M,-1.36%
05/29/2024,77.38,77.25,77.75,77.17,3.04M,-1.43%
05/28/2024,78.50,78.64,78.70,77.70,8.59M,0.09%
05/24/2024,78.43,77.95,78.64,77.66,2.24M,1.33%
05/23/2024,77.40,79.48,79.50,77.03,3.90M,-1.49%
05/22/2024,78.57,78.85,79.05,77.94,2.17M,-0.62%
05/21/2024,79.06,78.46,79.12,78.40,1.50M,0.46%
05/20/2024,78.70,78.55,79.14,78.45,1.77M,0.19%
05/17/2024,78.55,78.34,78.55,77.92,5.17M,0.32%
05/16/2024,78.30,78.68,79.16,78.28,2.19M,-0.47%
05/15/2024,78.67,77.54,78.77,77.34,2.29M,2.46%
05/14/2024,76.78,76.15,76.94,76.00,1.66M,0.85%
05/13/2024,76.13,76.61,76.62,75.79,1.70M,0.00%
05/10/2024,76.13,76.41,76.63,75.75,2.50M,0.29%
05/09/2024,75.91,75.13,75.93,74.92,1.75M,1.07%
05/08/2024,75.11,74.54,75.25,74.51,1.83M,0.01%
05/07/2024,75.10,75.22,75.51,74.91,2.83M,0.20%
05/06/2024,74.95,74.16,74.95,74.02,2.04M,2.03%
05/03/2024,73.46,73.38,73.79,72.68,3.18M,2.51%
05/02/2024,71.66,71.44,71.91,70.13,4.45M,1.80%
05/01/2024,70.39,70.68,72.61,70.27,4.38M,-0.68%
04/30/2024,70.87,72.76,73.04,70.87,3.21M,-3.17%
04/29/2024,73.19,73.19,73.40,72.41,2.38M,0.66%
04/26/2024,72.71,72.16,73.16,71.99,6.21M,1.95%
04/25/2024,71.32,70.12,71.58,69.66,4.50M,-0.88%
04/24/2024,71.95,72.27,72.50,71.31,3.10M,-0.12%
04/23/2024,72.04,70.95,72.15,70.80,7.10M,2.43%
04/22/2024,70.33,69.84,71.13,69.18,3.54M,1.77%
04/19/2024,69.11,70.32,70.61,68.75,4.65M,-1.73%
04/18/2024,70.33,71.03,71.65,70.08,4.09M,-0.47%
04/17/2024,70.66,72.25,72.29,70.28,5.11M,-1.24%
04/16/2024,71.55,71.92,72.39,71.17,10.11M,-0.36%
