date,Price,Open,high,Low,Vol.,Change %
01/16/2025,111.97,113.49,113.53,111.88,2.16K,0.97%
01/15/2025,110.89,106.16,111.84,106.16,3.68K,4.95%
01/14/2025,105.66,107.62,108.16,105.66,6.98K,0.87%
01/13/2025,104.75,105.05,105.17,103.41,4.49K,-0.76%
01/10/2025,105.55,109.71,110.00,105.55,2.44K,-4.07%
01/09/2025,110.03,109.22,110.10,109.22,0.30K,-0.07%
01/08/2025,110.11,110.50,111.24,109.21,3.03K,-1.02%
01/07/2025,111.24,112.64,114.30,111.08,12.90K,-3.46%
01/06/2025,115.23,112.40,115.23,112.28,12.34K,3.39%
01/03/2025,111.45,109.42,111.45,108.57,6.72K,0.73%
01/02/2025,110.64,110.23,112.03,109.25,12.36K,1.14%
12/30/2024,109.39,111.70,112.34,109.39,2.21K,-2.80%
12/27/2024,112.54,115.81,115.81,111.49,8.34K,1.33%
12/23/2024,111.06,112.43,112.53,109.81,5.87K,-1.23%
12/20/2024,112.44,107.34,112.44,104.55,20.54K,2.04%
12/19/2024,110.19,108.82,111.22,108.69,13.44K,-6.86%
12/18/2024,118.31,117.89,118.64,117.13,2.00K,0.54%
12/17/2024,117.67,117.72,118.01,116.83,3.20K,-0.81%
12/16/2024,118.63,117.48,118.83,117.46,6.81K,0.89%
12/13/2024,117.58,118.70,119.09,116.92,11.89K,-1.13%
12/12/2024,118.92,118.73,119.07,118.67,3.19K,-0.46%
12/11/2024,119.47,117.01,119.47,116.86,5.53K,1.51%
12/10/2024,117.69,117.15,118.06,117.03,2.50K,0.00%
12/09/2024,117.69,119.27,119.43,117.69,3.41K,-1.18%
12/06/2024,119.10,118.10,119.75,117.98,7.05K,0.19%
12/05/2024,118.87,119.11,119.31,118.60,0.30K,0.07%
12/04/2024,118.79,118.13,119.25,118.04,8.07K,1.44%
12/03/2024,117.10,117.74,117.74,116.73,10.07K,-0.44%
12/02/2024,117.62,116.26,117.92,116.15,6.12K,1.19%
11/29/2024,116.24,115.16,116.24,115.09,0.26K,0.89%
11/28/2024,115.22,114.92,115.33,114.87,2.62K,0.83%
11/27/2024,114.27,115.94,115.94,113.96,3.51K,-1.27%
11/26/2024,115.74,114.35,115.74,114.34,1.74K,1.07%
11/25/2024,114.52,115.35,116.03,114.52,5.77K,0.71%
