DATE,BAA,DGS10,Calculated Credit Spread,Calculated scaled Credit Spread
1970-04-01,8.7,7.04,1.6599999999999993,3.3199999999999985
1970-05-01,8.98,7.85,1.1300000000000008,2.2600000000000016
1970-06-01,9.25,7.84,1.4100000000000001,2.8200000000000003
1970-07-01,9.4,7.64,1.7600000000000007,3.5200000000000014
1970-09-01,9.39,7.47,1.9200000000000008,3.8400000000000016
1970-10-01,9.33,7.29,2.04,4.08
1970-12-01,9.12,6.48,2.639999999999999,5.279999999999998
1971-02-01,8.39,6.09,2.3000000000000007,4.600000000000001
1971-03-01,8.46,6.12,2.3400000000000007,4.6800000000000015
1971-04-01,8.45,5.58,2.869999999999999,5.739999999999998
1971-06-01,8.75,6.36,2.3899999999999997,4.779999999999999
1971-07-01,8.76,6.69,2.0699999999999994,4.139999999999999
1971-09-01,8.59,6.22,2.37,4.74
1971-10-01,8.48,6.0,2.4800000000000004,4.960000000000001
1971-11-01,8.38,5.8,2.580000000000001,5.160000000000002
1971-12-01,8.38,5.92,2.460000000000001,4.920000000000002
1972-02-01,8.23,6.09,2.1400000000000006,4.280000000000001
1972-03-01,8.24,6.04,2.2,4.4
1972-05-01,8.23,6.14,2.0900000000000007,4.1800000000000015
1972-06-01,8.2,6.07,2.129999999999999,4.259999999999998
1972-08-01,8.19,6.14,2.05,4.1
1972-09-01,8.09,6.43,1.6600000000000001,3.3200000000000003
1972-11-01,7.99,6.39,1.6000000000000005,3.200000000000001
1972-12-01,7.93,6.29,1.6399999999999997,3.2799999999999994
1973-02-01,7.97,6.6,1.37,2.74
1973-03-01,8.03,6.65,1.379999999999999,2.759999999999998
1973-05-01,8.06,6.72,1.3400000000000007,2.6800000000000015
1973-06-01,8.13,6.96,1.1700000000000008,2.3400000000000016
1973-08-01,8.53,7.55,0.9799999999999995,1.959999999999999
1973-10-01,8.41,6.91,1.5,3.0
1973-11-01,8.42,6.71,1.71,3.42
1974-02-01,8.53,7.0,1.5299999999999994,3.0599999999999987
1974-03-01,8.62,7.08,1.5399999999999991,3.0799999999999983
1974-04-01,8.87,7.42,1.4499999999999993,2.8999999999999986
1974-05-01,9.05,7.62,1.4300000000000006,2.860000000000001
1974-07-01,9.48,7.65,1.83,3.66
1974-08-01,9.77,7.92,1.8499999999999996,3.6999999999999993
1974-10-01,10.48,7.97,2.5100000000000007,5.020000000000001
1974-11-01,10.6,7.8,2.8,5.6
1975-04-01,10.58,8.08,2.5,5.0
1975-05-01,10.69,8.31,2.379999999999999,4.759999999999998
1975-07-01,10.55,7.97,2.580000000000001,5.160000000000002
1975-08-01,10.59,8.26,2.33,4.66
1975-10-01,10.62,8.47,2.1499999999999986,4.299999999999997
1975-12-01,10.56,8.12,2.4400000000000013,4.880000000000003
1976-03-01,10.12,7.86,2.259999999999999,4.519999999999998
1976-04-01,9.94,7.68,2.26,4.52
1976-06-01,9.89,7.94,1.9500000000000002,3.9000000000000004
1976-07-01,9.82,7.88,1.9400000000000004,3.880000000000001
1976-09-01,9.4,7.64,1.7600000000000007,3.5200000000000014
1976-10-01,9.29,7.49,1.799999999999999,3.599999999999998
1976-11-01,9.23,7.38,1.8500000000000005,3.700000000000001
1976-12-01,9.12,6.97,2.1499999999999995,4.299999999999999
1977-02-01,9.12,7.41,1.709999999999999,3.419999999999998
1977-03-01,9.12,7.49,1.629999999999999,3.259999999999998
1977-04-01,9.07,7.43,1.6400000000000006,3.280000000000001
1977-06-01,8.91,7.38,1.5300000000000002,3.0600000000000005
1977-07-01,8.87,7.34,1.5299999999999994,3.0599999999999987
1977-08-01,8.82,7.43,1.3900000000000006,2.780000000000001
1977-09-01,8.8,7.3,1.5000000000000009,3.0000000000000018
1977-11-01,8.95,7.63,1.3199999999999994,2.639999999999999
1977-12-01,8.99,7.58,1.4100000000000001,2.8200000000000003
1978-02-01,9.2,7.96,1.2399999999999993,2.4799999999999986
1978-03-01,9.22,8.05,1.17,2.34
1978-05-01,9.49,8.24,1.25,2.5
1978-06-01,9.6,8.41,1.1899999999999995,2.379999999999999
1978-08-01,9.48,8.54,0.9400000000000013,1.8800000000000026
1978-09-01,9.42,8.38,1.0399999999999991,2.0799999999999983
1978-11-01,9.83,8.66,1.17,2.34
1978-12-01,9.94,8.8,1.1399999999999988,2.2799999999999976
1979-02-01,10.08,8.94,1.1400000000000006,2.280000000000001
1979-03-01,10.26,9.17,1.0899999999999999,2.1799999999999997
1979-05-01,10.47,9.36,1.1100000000000012,2.2200000000000024
1979-06-01,10.38,9.05,1.33,2.66
1979-08-01,10.35,8.99,1.3599999999999994,2.719999999999999
1979-10-01,11.4,9.51,1.8900000000000006,3.780000000000001
1979-11-01,11.99,10.79,1.200000000000001,2.400000000000002
1980-02-01,13.57,11.29,2.280000000000001,4.560000000000002
1980-04-01,14.19,12.69,1.5,3.0
1980-05-01,13.17,10.57,2.5999999999999996,5.199999999999999
1980-07-01,12.65,10.13,2.5199999999999996,5.039999999999999
1980-08-01,13.15,10.76,2.3900000000000006,4.780000000000001
1980-10-01,14.23,11.78,2.450000000000001,4.900000000000002
1980-12-01,15.14,12.92,2.2200000000000006,4.440000000000001
1981-04-01,15.56,13.14,2.42,4.84
1981-05-01,15.95,14.05,1.8999999999999986,3.799999999999997
1981-06-01,15.8,13.46,2.34,4.68
1981-07-01,16.17,14.04,2.1300000000000026,4.260000000000005
1981-09-01,16.92,15.41,1.5100000000000016,3.020000000000003
1981-10-01,17.11,15.75,1.3599999999999994,2.719999999999999
1981-12-01,16.55,13.37,3.1800000000000015,6.360000000000003
1982-02-01,17.18,14.58,2.5999999999999996,5.199999999999999
1982-03-01,16.82,13.85,2.9700000000000006,5.940000000000001
1982-04-01,16.78,14.1,2.6800000000000015,5.360000000000003
1982-06-01,16.92,13.93,2.990000000000002,5.980000000000004
1982-07-01,16.8,14.4,2.4000000000000004,4.800000000000001
1982-09-01,15.63,12.76,2.870000000000001,5.740000000000002
1982-10-01,14.73,11.51,3.2200000000000006,6.440000000000001
1982-11-01,14.3,10.56,3.74,7.48
1982-12-01,14.14,10.74,3.4000000000000004,6.800000000000001
1983-02-01,13.95,10.78,3.17,6.34
1983-03-01,13.61,10.22,3.389999999999999,6.779999999999998
1983-06-01,13.37,10.77,2.5999999999999996,5.199999999999999
1983-07-01,13.39,10.93,2.460000000000001,4.920000000000002
1983-08-01,13.64,11.8,1.8399999999999999,3.6799999999999997
1983-09-01,13.55,11.97,1.58,3.16
1983-11-01,13.61,11.69,1.92,3.84
1983-12-01,13.75,11.63,2.119999999999999,4.239999999999998
1984-02-01,13.59,11.64,1.9499999999999993,3.8999999999999986
1984-03-01,13.99,12.07,1.92,3.84
1984-05-01,14.74,12.82,1.92,3.84
1984-06-01,15.05,13.63,1.42,2.84
1984-08-01,14.63,12.81,1.8200000000000003,3.6400000000000006
1984-10-01,13.94,12.54,1.4000000000000004,2.8000000000000007
1984-11-01,13.48,11.66,1.8200000000000003,3.6400000000000006
1985-02-01,13.23,11.29,1.9400000000000013,3.8800000000000026
1985-03-01,13.69,11.86,1.83,3.66
1985-04-01,13.51,11.66,1.8499999999999996,3.6999999999999993
1985-05-01,13.15,11.27,1.8800000000000008,3.7600000000000016
1985-07-01,12.43,10.19,2.24,4.48
1985-08-01,12.5,10.51,1.9900000000000002,3.9800000000000004
1985-10-01,12.36,10.29,2.0700000000000003,4.140000000000001
1985-11-01,11.99,9.98,2.01,4.02
1986-04-01,10.19,7.37,2.8199999999999994,5.639999999999999
1986-05-01,10.29,7.45,2.839999999999999,5.679999999999998
1986-07-01,10.16,7.37,2.79,5.58
1986-08-01,10.18,7.34,2.84,5.68
1986-10-01,10.24,7.41,2.83,5.66
1986-12-01,9.97,7.18,2.790000000000001,5.580000000000002
1987-04-01,10.04,7.59,2.4499999999999993,4.899999999999999
1987-05-01,10.51,8.39,2.119999999999999,4.239999999999998
1987-06-01,10.52,8.45,2.0700000000000003,4.140000000000001
1987-07-01,10.61,8.36,2.25,4.5
1987-09-01,11.31,9.05,2.26,4.52
1987-10-01,11.62,9.66,1.959999999999999,3.919999999999998
1987-12-01,11.29,9.01,2.2799999999999994,4.559999999999999
1988-02-01,10.62,8.26,2.3599999999999994,4.719999999999999
1988-03-01,10.57,8.15,2.42,4.84
1988-06-01,11.0,9.03,1.9700000000000006,3.9400000000000013
1988-07-01,11.11,8.77,2.34,4.68
1988-08-01,11.21,9.07,2.1400000000000006,4.280000000000001
1988-09-01,10.9,9.25,1.6500000000000004,3.3000000000000007
1988-11-01,10.48,8.68,1.8000000000000007,3.6000000000000014
1988-12-01,10.65,9.01,1.6400000000000006,3.280000000000001
1989-02-01,10.61,8.99,1.6199999999999992,3.2399999999999984
1989-03-01,10.67,9.36,1.3100000000000005,2.620000000000001
1989-05-01,10.46,9.14,1.3200000000000003,2.6400000000000006
1989-06-01,10.03,8.61,1.42,2.84
1989-08-01,9.88,7.74,2.1400000000000006,4.280000000000001
1989-09-01,9.91,8.19,1.7200000000000006,3.4400000000000013
1989-11-01,9.81,7.91,1.9000000000000004,3.8000000000000007
1989-12-01,9.82,7.81,2.0100000000000007,4.020000000000001
1990-02-01,10.14,8.42,1.7200000000000006,3.4400000000000013
1990-03-01,10.21,8.59,1.620000000000001,3.240000000000002
1990-05-01,10.41,9.08,1.33,2.66
1990-06-01,10.22,8.44,1.7800000000000011,3.5600000000000023
1990-08-01,10.41,8.29,2.120000000000001,4.240000000000002
1990-10-01,10.74,8.71,2.0299999999999994,4.059999999999999
1990-11-01,10.62,8.57,2.049999999999999,4.099999999999998
1991-02-01,10.07,7.91,2.16,4.32
1991-03-01,10.09,8.12,1.9700000000000006,3.9400000000000013
1991-04-01,9.94,8.07,1.8699999999999992,3.7399999999999984
1991-05-01,9.86,8.01,1.8499999999999996,3.6999999999999993
1991-07-01,9.89,8.26,1.6300000000000008,3.2600000000000016
1991-08-01,9.65,8.2,1.450000000000001,2.900000000000002
1991-10-01,9.49,7.45,2.04,4.08
1991-11-01,9.45,7.48,1.9699999999999989,3.9399999999999977
1992-04-01,9.21,7.46,1.7500000000000009,3.5000000000000018
1992-05-01,9.13,7.56,1.5700000000000012,3.1400000000000023
1992-06-01,9.05,7.39,1.660000000000001,3.320000000000002
1992-07-01,8.84,7.1,1.7400000000000002,3.4800000000000004
1992-09-01,8.62,6.56,2.0599999999999996,4.119999999999999
1992-10-01,8.84,6.23,2.6099999999999994,5.219999999999999
1992-12-01,8.81,6.94,1.87,3.74
1993-02-01,8.39,6.38,2.0100000000000007,4.020000000000001
1993-03-01,8.15,5.94,2.21,4.42
1993-04-01,8.14,6.06,2.080000000000001,4.160000000000002
1993-06-01,8.07,6.07,2.0,4.0
1993-07-01,7.93,5.8,2.13,4.26
1993-09-01,7.34,5.46,1.88,3.76
1993-10-01,7.31,5.34,1.9699999999999998,3.9399999999999995
1993-11-01,7.66,5.56,2.1000000000000005,4.200000000000001
1993-12-01,7.69,5.82,1.87,3.74
1994-02-01,7.76,5.77,1.9900000000000002,3.9800000000000004
1994-03-01,8.13,6.28,1.8500000000000005,3.700000000000001
1994-06-01,8.65,7.12,1.5300000000000002,3.0600000000000005
1994-07-01,8.8,7.34,1.4600000000000009,2.9200000000000017
1994-08-01,8.74,7.13,1.6100000000000003,3.2200000000000006
1994-09-01,8.98,7.19,1.79,3.58
1994-11-01,9.32,7.91,1.4100000000000001,2.8200000000000003
1994-12-01,9.1,7.92,1.1799999999999997,2.3599999999999994
1995-02-01,8.85,7.66,1.1899999999999995,2.379999999999999
1995-03-01,8.7,7.23,1.4699999999999989,2.9399999999999977
1995-05-01,8.2,7.09,1.1099999999999994,2.219999999999999
1995-06-01,7.9,6.2,1.7000000000000002,3.4000000000000004
1995-08-01,8.19,6.5,1.6899999999999995,3.379999999999999
1995-09-01,7.93,6.22,1.71,3.42
1995-11-01,7.68,5.98,1.6999999999999993,3.3999999999999986
1995-12-01,7.49,5.71,1.7800000000000002,3.5600000000000005
1996-02-01,7.63,5.63,2.0,4.0
1996-03-01,8.03,5.99,2.039999999999999,4.079999999999998
1996-04-01,8.19,6.31,1.88,3.76
1996-05-01,8.3,6.68,1.620000000000001,3.240000000000002
1996-07-01,8.35,6.74,1.6099999999999994,3.219999999999999
1996-08-01,8.18,6.65,1.5299999999999994,3.0599999999999987
1996-10-01,8.07,6.65,1.42,2.84
1996-11-01,7.79,6.38,1.4100000000000001,2.8200000000000003
1997-04-01,8.34,6.9,1.4399999999999995,2.879999999999999
1997-05-01,8.2,6.69,1.509999999999999,3.019999999999998
1997-07-01,7.75,6.45,1.2999999999999998,2.5999999999999996
1997-08-01,7.82,6.2,1.62,3.24
1997-10-01,7.57,6.04,1.5300000000000002,3.0600000000000005
1997-12-01,7.32,5.86,1.46,2.92
1998-04-01,7.33,5.62,1.71,3.42
1998-05-01,7.3,5.67,1.63,3.26
1998-06-01,7.13,5.53,1.5999999999999996,3.1999999999999993
1998-07-01,7.15,5.44,1.71,3.42
1998-09-01,7.09,5.05,2.04,4.08
1998-10-01,7.18,4.33,2.8499999999999996,5.699999999999999
1998-12-01,7.23,4.67,2.5600000000000005,5.120000000000001
1999-02-01,7.39,4.75,2.6399999999999997,5.279999999999999
1999-03-01,7.53,5.4,2.13,4.26
1999-04-01,7.48,5.27,2.210000000000001,4.420000000000002
1999-06-01,8.02,5.78,2.2399999999999993,4.479999999999999
1999-07-01,7.95,5.85,2.1000000000000005,4.200000000000001
1999-09-01,8.2,5.99,2.209999999999999,4.419999999999998
1999-10-01,8.38,6.0,2.380000000000001,4.760000000000002
1999-11-01,8.15,6.06,2.0900000000000007,4.1800000000000015
1999-12-01,8.19,6.21,1.9799999999999995,3.959999999999999
2000-02-01,8.29,6.62,1.669999999999999,3.339999999999998
2000-03-01,8.37,6.39,1.9799999999999995,3.959999999999999
2000-05-01,8.9,6.29,2.6100000000000003,5.220000000000001
2000-06-01,8.48,6.2,2.2800000000000002,4.5600000000000005
2000-08-01,8.26,6.0,2.26,4.52
